samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-131YS-0626-SM-5EGKL,7.7056,4.5195,8.0243,11.0159,9.3929,8.6003,4.436,2.6232,,,TCGA-BH-A0BQ-11,7.4866,6.2011,9.602,10.4271,8.0603,9.0466,5.1965,5.0435
GTEX-X15G-1626-SM-3NMB3,6.7968,4.2228,7.9198,11.132,8.9231,9.0716,2.8554,2.8554,,,TCGA-BH-A18M-11,6.912,5.8444,9.002,10.6014,7.6338,9.5679,5.4011,5.1596
GTEX-1313W-0826-SM-5EQ4T,5.6723,3.9876,8.6277,11.0376,8.4385,9.1268,4.1056,1.8885,,,TCGA-BH-A0E0-11,6.3962,5.3456,8.8333,10.1192,7.8701,8.7552,2.6326,3.7392
GTEX-YFC4-1426-SM-5IFJG,6.5108,5.3523,8.6269,11.1901,10.0444,8.866,4.5893,4.1522,,,TCGA-BH-A1EW-11,7.4845,6.885,10.3551,10.1949,9.0703,10.0882,6.2493,6.8951
GTEX-131XW-0726-SM-5EGK3,7.2983,4.6262,8.3451,10.6189,9.5375,8.701,4.6262,4.7329,,,TCGA-A7-A0D9-11,7.2114,3.6454,8.8374,10.6098,6.1932,9.319,3.3286,3.2053
GTEX-S341-1526-SM-4AD6K,6.6805,3.8381,8.3499,11.2555,8.8309,9.3951,4.7221,3.416,,,TCGA-BH-A1FN-11,6.5764,6.4111,9.4571,10.7912,8.8606,9.79,5.2988,5.4845
GTEX-ZF3C-2326-SM-5S2MZ,5.7725,4.2724,9.0277,10.8547,8.5871,8.9911,3.8165,2.9154,,,TCGA-BH-A0HA-11,7.8227,6.3538,9.3548,10.421,8.7249,9.7386,5.4519,5.0103
GTEX-WYBS-0926-SM-3NM94,7.7878,6.2853,9.3401,10.7168,9.5715,8.8836,5.684,5.3368,,,TCGA-BH-A1FE-11,6.5881,5.8897,9.915,10.3118,9.2201,10.1893,6.3105,5.363
GTEX-WRHU-0326-SM-3MJFY,6.3735,5.1319,8.9815,11.2077,8.7191,9.2819,2.9046,3.529,,,TCGA-BH-A0DG-11,6.4775,6.4966,9.6703,10.2501,8.6977,9.5861,5.1509,5.5859
GTEX-ZC5H-2626-SM-5J2MG,7.1006,4.6491,8.8258,11.0375,9.1337,9.1295,4.7858,3.9186,,,TCGA-AO-A1KQ-01,10.6764,9.2642,9.9991,10.7572,9.333,10.0898,7.863,8.5388
