,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-WVLH-0008-SM-4MVPD,10.3208,7.8457,10.5207,11.896,7.075,9.1154,9.574,8.1846,,,TCGA-BF-A5ES-01,11.5769,8.4773,9.9672,11.076,5.4657,9.7739,8.8105,3.9992
GTEX-QMRM-0008-SM-447B1,5.7098,2.3371,9.6232,11.3981,7.4106,9.2728,7.4755,0,,,TCGA-BF-AAP7-01,9.8874,7.9052,9.7448,11.3069,5.9424,9.4042,7.8852,6.6754
GTEX-U8T8-0008-SM-4DXSP,5.0703,1.0367,9.7536,11.7293,7.723,9.5348,6.5953,2.0547,,,TCGA-EB-A41B-01,10.1031,7.5274,11.1935,10.8765,6.9546,11.2072,8.6964,6.323
GTEX-X585-0008-SM-46MU4,7.1196,5.9758,9.8123,11.1949,7.3721,9.0575,7.9129,6.1432,,,TCGA-EB-A6QZ-01,10.8491,9.2131,9.8848,11.5498,6.5026,10.4533,8.6796,8.321
GTEX-ZAB4-0008-SM-4RGM6,6.4245,3.9353,10.0449,11.4858,7.9329,9.7814,8.9674,4.305,,,TCGA-XV-AAZY-01,11.5052,8.7517,9.2991,11.5469,6.4491,9.3535,9.2356,4.5997
GTEX-SIU8-0008-SM-4BRUC,5.8818,2.0773,9.6663,11.6312,7.693,9.4983,7.1127,2.8954,,,TCGA-BF-A5EP-01,10.2428,9.1558,10.778,11.8377,8.6748,10.3221,8.8512,7.1488
GTEX-WFJO-0008-SM-4LVN7,5.0844,1.782,9.7413,11.6182,7.8013,9.395,6.1146,1.1502,,,TCGA-EB-A550-01,8.5299,8.9243,9.4408,11.1543,8.2591,9.3969,7.206,7.6987
GTEX-WYJK-0008-SM-4ONDV,6.5802,4.5267,9.6107,10.8867,7.0943,8.6294,6.2023,4.8843,,,TCGA-BF-A1PV-01,9.3607,8.1223,11.1263,10.8391,9.0418,9.6881,7.2472,7.1473
GTEX-WHSE-0008-SM-4M1ZO,4.5647,1.0931,9.9698,11.7374,7.9086,9.6128,7.0119,1.0931,,,TCGA-BF-AAOU-01,10.2008,7.5469,10.1812,11.2418,8.6279,9.9029,8.0714,5.9907
GTEX-11NV4-0008-SM-5Q5BA,7.3159,5.7112,9.9652,11.0828,7.5318,9.0802,6.9931,5.5916,,,TCGA-D9-A4Z3-01,9.6739,8.4514,10.4091,10.4526,10.238,9.8451,7.7894,7.2009
GTEX-V1D1-0008-SM-4JBIJ,10.6006,8.1454,10.1619,11.6379,7.0192,9.2398,10.0667,8.1635,,,TCGA-EB-A42Y-01,10.5953,8.7892,10.1251,12.0491,7.6412,9.7835,10.4286,7.2201
GTEX-XK95-0008-SM-4AT5G,5.1433,1.2471,9.5421,11.6032,6.9107,9.5126,6.6023,0,,,TCGA-BF-A1PZ-01,10.6067,8.3516,10.132,11.1595,6.8511,10.175,9.062,6.7309
GTEX-ZDTT-0008-SM-4E3K5,6.8183,4.5831,10.0051,11.1805,7.6561,9.4667,7.4819,5.4576,,,TCGA-EB-A82C-01,10.8911,8.4309,11.3336,11.2469,8.7605,9.671,8.6748,6.8724
GTEX-R55D-0008-SM-48FEV,6.1979,3.7532,9.4017,10.7773,6.6623,8.9645,6.5643,3.6131,,,TCGA-EB-A85J-01,10.9959,9.4307,10.7791,10.6716,8.3413,10.1846,7.8817,6.2566
GTEX-111YS-0008-SM-5Q5BH,7.8571,6.0221,9.9941,11.1789,7.7619,9.0375,8.0942,5.1242,,,TCGA-EB-A4OY-01,10.8391,8.8303,10.9502,10.8927,6.6117,9.9409,7.8825,4.9525
GTEX-QEG5-0008-SM-4R1KL,7.2239,5.7956,9.9251,11.0728,7.0173,8.8573,7.5262,5.6289,,,TCGA-EB-A5FP-01,10.8228,9.0884,11.7043,11.594,7.6991,10.1587,9.756,7.4343
GTEX-X4XY-0008-SM-46MVL,8.2622,6.9383,9.9654,11.1758,7.3417,8.9482,7.781,7.2119,,,TCGA-ER-A196-01,8.3406,7.8342,10.238,10.512,8.2056,9.2659,7.7285,5.7743
GTEX-SSA3-0008-SM-47JWJ,5.2494,1.6685,9.9531,11.7023,7.6024,9.8483,7.3707,2.6886,,,TCGA-XV-AAZW-01,10.8746,9.3134,10.0261,11.4099,7.4967,9.5928,8.3788,7.9115
GTEX-ZPU1-0008-SM-4E3IR,8.4686,7.2769,9.9008,11.2011,7.2379,8.8975,8.3298,7.9256,,,TCGA-GN-A4U5-01,9.1759,7.4959,9.6696,11.4986,7.1494,9.6012,8.2353,6.5372
GTEX-X88G-0008-SM-47JWN,5.4093,4.2315,9.8747,11.0887,7.3357,9.1155,6.0229,3.8117,,,TCGA-EB-A44P-01,8.9961,7.1947,10.0154,11.3626,7.7819,9.7221,8.6432,5.5481
GTEX-ZDTS-0008-SM-4E3I8,7.368,5.1899,9.9326,11.2111,7.24,9.1483,7.5083,4.8336,,,TCGA-EB-A6R0-01,10.792,8.7798,10.6656,11.7267,8.7079,9.8458,9.8121,8.117
