,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-X3Y1-0726-SM-3P5YU,5.9616,3.9213,7.1786,11.1985,8.6957,9.3276,3.0136,2.5153,,,TCGA-H8-A6C1-01,8.0761,6.829,9.1919,11.3711,8.4312,9.4702,6.7117,7.8616
GTEX-TKQ2-0426-SM-4DXUO,5.6165,3.6216,7.3661,11.2976,8.402,9.0643,5.2385,1.9363,,,TCGA-2L-AAQM-01,6.98,3.5056,8.6139,10.9699,7.9307,9.2375,2.513,3.727
GTEX-RM2N-0326-SM-48FD8,4.8508,2.7161,7.4634,10.9845,8.2759,9.0092,2.7161,0,,,TCGA-HV-A5A3-01,8.3264,6.7757,8.6516,11.0239,7.7531,8.7274,6.5655,6.9459
GTEX-WFG8-0326-SM-4LVN4,6.0615,4.4381,7.8357,11.3756,8.3281,9.2303,3.0907,3.3783,,,TCGA-HV-AA8V-01,8.0891,6.4234,9.2508,11.1453,8.2528,8.8838,5.7714,6.851
GTEX-WH7G-0826-SM-4LVMR,5.8575,3.6318,6.7335,11.1017,8.305,8.8355,3.6318,1.9445,,,TCGA-IB-AAUQ-01,8.0337,6.1887,9.6779,10.9886,7.788,9.0459,7.306,6.639
GTEX-1339X-1026-SM-5IFH5,4.4765,3.4148,7.4023,11.8354,8.8025,9.8771,5.2375,0,,,TCGA-FB-AAQ1-01,8.907,6.9701,9.4966,11.1938,8.6972,8.7247,6.3862,7.5481
GTEX-U8XE-2026-SM-5CHQF,0,0,0,0,0,0,0,0,,,TCGA-IB-AAUV-01,6.4866,5.0907,9.8997,11.2225,8.0032,9.4772,4.2703,5.3366
GTEX-146FH-1826-SM-5QGQ7,5.7835,4.685,8.1407,11.6686,9.1747,9.5897,3.1254,2.4946,,,TCGA-2J-AAB4-01,8.982,7.0307,8.9405,10.9251,8.6294,8.3444,6.1693,7.1808
GTEX-XYKS-1226-SM-4BRVI,5.9879,3.0616,8.2281,11.4153,9.022,9.5576,3.4328,3.5878,,,TCGA-FB-A7DR-01,8.8832,6.4636,9.5015,10.7395,7.2138,9.1434,6.3872,6.5124
GTEX-ZF3C-2026-SM-4WWB5,5.8968,5.1413,8.261,11.0332,9.6747,8.8127,6.1207,2.7475,,,TCGA-3A-A9IZ-01,9.6482,7.9076,9.1378,10.9446,7.6612,8.5465,7.9566,7.4017
