samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h
TCGA-S6-A8JX-01,11.5963,10.777,10.7027,12.3685,9.0945,11.6296,9.4788,7.7783,,,GTEX-SUCS-1326-SM-4DM5T,10.2879,9.8837,9.1913,12.0516,9.2301,10.144,8.8186,7.3192
TCGA-S6-A8JY-01,11.3595,10.5044,10.246,12.2611,9.6529,11.165,9.4668,6.8227,,,GTEX-WFG8-1926-SM-4LVM1,10.1683,9.1445,8.6104,11.6918,8.8697,9.8221,8.5481,7.2726
TCGA-WZ-A7V5-01,10.8779,9.6558,9.6855,11.6144,8.8305,10.6944,8.5529,6.6931,,,GTEX-YF7O-2026-SM-4W1YE,9.9251,9.0493,9.3447,11.9156,9.5057,10.2642,7.5643,7.3536
TCGA-XE-AAOB-01,10.3933,9.5531,10.0451,12.1209,9.2227,9.8403,8.6055,8.1061,,,GTEX-ZT9W-2226-SM-57WFU,10.0778,9.9855,9.4001,11.835,9.2662,9.9131,8.9525,7.9647
TCGA-YU-AA4L-01,10.3701,8.1797,10.8449,12.1864,8.3395,10.5632,8.8899,9.6093,,,GTEX-12696-0226-SM-5EGL3,10.5025,10.0357,8.9095,12.049,8.8642,9.8842,9.8116,7.7756
TCGA-2G-AAFN-01,11.2282,9.0871,10.2679,12.588,10.1271,9.8568,9.1079,6.8859,,,GTEX-XPT6-1626-SM-4B655,10.659,9.3773,9.2202,12.3349,9.3262,10.1845,8.2011,7.0278
TCGA-2G-AAHL-01,11.7432,10.5288,9.831,11.4959,8.6608,11.0427,7.6537,7.524,,,GTEX-11EQ9-1926-SM-5PNVV,9.8907,9.769,9.3231,11.9852,9.1417,9.6777,9.536,8.1691
TCGA-2G-AAKL-01,10.3589,9.4396,11.0909,12.0336,10.3406,10.323,9.7849,8.2869,,,GTEX-12WSL-2326-SM-5DUXQ,9.6934,9.7199,8.7984,11.9661,9.1751,9.5225,9.8489,7.3446
TCGA-4K-AA1H-01,10.0491,9.9438,10.1708,11.595,8.0885,9.7392,7.7622,7.7622,,,GTEX-YFCO-1726-SM-4W21S,10.6112,9.2449,9.2828,11.9967,9.6113,10.4256,7.6714,7.4779
TCGA-4K-AA1I-01,10.3225,9.8973,10.4048,12.2065,8.955,10.0501,9.1762,6.5806,,,GTEX-145MH-2326-SM-5O9AW,10.7841,9.7965,8.9666,12.1791,9.2559,9.8257,8.7324,8.0526
TCGA-SN-A6IS-01,11.364,10.1293,10.5912,11.9867,9.5313,10.5002,8.7548,8.2723,,,GTEX-ZYFC-0126-SM-5GIEH,10.196,9.6249,9.0342,11.8215,9.0736,9.629,7.8479,8.1776
